Asset IP Address,Scan Name,Scan Policy,Scanner IP,Scan Time,Max Checks,Max Hosts,Minutes,RTT,Hop Count
192.168.128.200,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:08 EDT,5,30,21.816666666666666,125.308 ms,"1
</plugin_output>"
192.168.128.72,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:02 EDT,5,30,1.7333333333333334,41.792 ms,"1
</plugin_output>"
192.168.128.50,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:01 EDT,5,30,1.5333333333333334,46.657 ms,"1
</plugin_output>"
192.168.128.63,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:02 EDT,5,30,8.5,55.179 ms,"1
</plugin_output>"
192.168.128.95,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:00 EDT,5,30,8.033333333333333,119.270 ms,"1
</plugin_output>"
192.168.128.52,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:01 EDT,5,30,16.983333333333334,31.567 ms,"1
</plugin_output>"
192.168.128.56,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:02 EDT,5,30,8.733333333333333,87.094 ms,"1
</plugin_output>"
192.168.128.18,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:01 EDT,5,30,9.35,46.867 ms,"1
</plugin_output>"
192.168.128.73,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:06 EDT,5,30,17.333333333333332,107.172 ms,"1
</plugin_output>"
192.168.128.22,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-205263/Daily Scan Policy,192.168.128.9,2024/5/23 0:02 EDT,5,30,23.0,60.365 ms,"1
</plugin_output>"
