Asset IP Address,Scan Name,Scan Policy,Scanner IP,Scan Time,Max Checks,Max Hosts,Minutes,RTT,Hop Count
192.168.128.200,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:03 EDT,5,30,23.116666666666667,157.264 ms,"1
</plugin_output>"
192.168.128.72,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:07 EDT,5,30,1.8833333333333333,123.262 ms,"1
</plugin_output>"
192.168.128.50,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:00 EDT,5,30,1.4666666666666666,48.313 ms,"1
</plugin_output>"
192.168.128.63,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:06 EDT,5,30,7.966666666666667,284.527 ms,"1
</plugin_output>"
192.168.128.95,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:06 EDT,5,30,5.2,118.856 ms,"1
</plugin_output>"
192.168.128.52,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:00 EDT,5,30,17.116666666666667,206.438 ms,"1
</plugin_output>"
192.168.128.56,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:06 EDT,5,30,10.033333333333333,114.701 ms,"1
</plugin_output>"
192.168.128.18,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:00 EDT,5,30,9.083333333333334,109.231 ms,"1
</plugin_output>"
192.168.128.73,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:02 EDT,5,30,17.416666666666668,126.760 ms,"1
</plugin_output>"
192.168.128.22,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:02 EDT,5,30,25.033333333333335,63.742 ms,"1
</plugin_output>"
192.168.128.74,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:03 EDT,5,30,1.8333333333333333,139.913 ms,"1
</plugin_output>"
192.168.128.2,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:01 EDT,5,30,1.8,35.803 ms,"1
</plugin_output>"
192.168.128.92,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:11 EDT,5,30,12.383333333333333,191.633 ms,"1
</plugin_output>"
192.168.128.15,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:01 EDT,5,30,48.36666666666667,42.505 ms,"1
</plugin_output>"
192.168.128.30,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:09 EDT,5,30,14.783333333333333,68.838 ms,"1
</plugin_output>"
192.168.128.84,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:01 EDT,5,30,11.383333333333333,287.495 ms,"1

An"
192.168.128.65,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:01 EDT,5,30,11.316666666666666,199.018 ms,"1

An"
192.168.128.245,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:02 EDT,5,30,13.866666666666667,36.557 ms,"1
</plugin_output>"
192.168.128.61,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:01 EDT,5,30,11.55,617.099 ms,"1

An"
192.168.128.76,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:07 EDT,5,30,8.383333333333333,142.373 ms,"1

An"
192.168.128.165,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:06 EDT,5,30,12.866666666666667,246.042 ms,"1
</plugin_output>"
192.168.128.68,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:06 EDT,5,30,6.916666666666667,173.155 ms,"3
</plugin_output>"
192.168.128.234,Daily Production Scan,03d0f3e7-32a2-5050-92f5-b8c6fdc510a5-204467/Daily Scan Policy,192.168.128.9,2024/5/22 0:04 EDT,5,30,1.9166666666666667,62.559 ms,"1
</plugin_output>"
